"","Age","G","GS","MP","PER","TS_perc","X3PAr","FTr","ORB_perc","DRB_perc","TRB_perc","AST_perc","STL_perc","BLK_perc","TOV_perc","USG_perc","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG_perc","X3P","X3PA","X3P_perc","X2P","X2PA","X2P_perc","eFG_perc","FT","FTA","FT_perc","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","salary","posC","tmATL","tmBOS","tmBRK","tmCHI","tmCHO","tmCLE","tmDAL","tmDEN","tmDET","tmGSW","tmHOU","tmIND","tmLAC","tmLAL","tmMEM","tmMIA","tmMIL","tmMIN","tmNOP","tmNYK","tmOKC","tmORL","tmPHI","tmPHO","tmPOR","tmSAC","tmSAS","tmTOR","tmUTA","tmWAS","posPF","posPG","posSF","posSG"
"mcclesh01WAS2017",24,30,3,287,10.1,0.518,0.4,0.36,1.6,11.7,6.7,7,1.4,0.6,5.4,14,0.3,0.2,0.5,0.076,-2.1,-1.5,-3.6,-0.1,30,75,0.4,7,30,0.233,23,45,0.511,0.447,23,27,0.852,4,30,34,15,8,2,5,17,90,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"mcgeeja01GSW2017",29,77,10,739,25.2,0.642,0.013,0.348,15.8,20.1,18.1,3.8,1.2,7.1,9.8,23.8,2,1.5,3.5,0.225,0.2,0.6,0.8,0.5,208,319,0.652,0,4,0,208,315,0.66,0.652,56,111,0.505,100,144,244,17,19,67,40,109,472,1403611,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mcgruro01MIA2017",25,78,65,1966,9.1,0.506,0.478,0.154,5.3,9.2,7.2,8.8,1.2,0.7,10.2,12.3,1.2,1.7,2.9,0.072,-0.8,0.5,-0.4,0.8,190,460,0.413,73,220,0.332,117,240,0.488,0.492,44,71,0.62,95,162,257,124,45,18,56,140,497,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"mclembe01SAC2017",23,61,26,1176,9.8,0.538,0.406,0.222,1.9,10.8,6.4,6.9,1.2,0.5,11.9,20.1,-0.1,0.5,0.4,0.015,-2.1,-2.7,-4.8,-0.8,180,419,0.43,65,170,0.382,115,249,0.462,0.507,70,93,0.753,19,111,130,51,29,6,62,108,495,4008882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"mcraejo01CLE2017",25,37,4,384,9.7,0.488,0.34,0.227,1.8,9.5,5.7,7.4,1,1.3,7.8,20.8,-0.1,0.2,0.2,0.02,-3.7,-2.8,-6.5,-0.4,58,150,0.387,18,51,0.353,40,99,0.404,0.447,27,34,0.794,6,34,40,19,8,6,14,31,161,874636,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"mcrobjo01MIA2017",29,22,14,381,9.8,0.439,0.263,0.076,6.6,15,10.7,18.9,1.3,0.8,15.9,16.9,-0.1,0.4,0.3,0.036,-2.9,0.5,-2.4,0,44,118,0.373,13,31,0.419,31,87,0.356,0.428,6,9,0.667,23,51,74,50,10,4,23,31,107,5782450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"meeksjo01ORL2017",29,36,10,738,13.1,0.567,0.535,0.289,0.7,10.9,5.7,9.3,2.3,0.4,11.1,19.4,0.5,0.6,1.1,0.073,-0.4,-1.4,-1.8,0,103,256,0.402,56,137,0.409,47,119,0.395,0.512,65,74,0.878,5,72,77,45,34,4,36,41,327,6540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"mejrisa01DAL2017",30,73,11,905,14.8,0.65,0.022,0.445,11.9,28.4,19.8,2.4,1.8,6.1,19.6,10.6,1.3,1.7,3,0.159,-3.6,3.8,0.2,0.5,88,137,0.642,1,3,0.333,87,134,0.649,0.646,36,61,0.59,97,211,308,14,32,61,40,152,213,874636,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mickejo01BOS2017",22,25,1,141,9.8,0.473,0.029,0.412,10.4,16.4,13.4,7.1,1.1,3.5,18.3,15.5,-0.1,0.2,0.1,0.036,-5.7,0.9,-4.8,-0.1,15,34,0.441,0,1,0,15,33,0.455,0.441,8,14,0.571,13,21,34,7,3,6,9,12,38,1223653,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"middlkh01MIL2017",25,29,23,889,15,0.57,0.312,0.276,1.5,14.5,8.1,17.5,2.3,0.7,14.8,22.5,0.7,0.9,1.6,0.085,0,-0.6,-0.5,0.3,150,333,0.45,45,104,0.433,105,229,0.459,0.518,81,92,0.88,11,112,123,99,41,7,65,79,426,15200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
